Date,Open,High,Low,Close,Adj Close,Volume
2024-09-13,520.34,527.581,517.11,524.62,524.62,10321422
2024-09-16,524.54,534.1,517.4,533.28,533.28,9527646
2024-09-17,537.6,542.1,530.57,536.315,536.315,11690779
2024-09-18,537.065,544.2,533.9026,537.95,537.95,10323537
2024-09-19,550.0,562.07,546.52,559.1,559.1,15646951
2024-09-20,560.0,564.5,556.3001,561.35,561.35,22066817
2024-09-23,569.5,573.9799,562.41,564.41,564.41,12830669
2024-09-24,566.68,567.745,554.19,563.33,563.33,12992956
2024-09-25,564.05,576.88,563.72,568.31,568.31,16543350
2024-09-26,575.73,577.4,562.3501,567.84,567.84,14400787
2024-09-27,570.1,570.8399,564.51,567.36,567.36,9398367
2024-09-30,567.7,574.68,564.8,572.44,572.44,12807206
2024-10-01,577.98,583.04,570.1,576.47,576.47,15259274
2024-10-02,574.86,576.0,569.34,572.81,572.81,6524650
2024-10-03,570.15,583.36,568.73,582.77,582.77,11580980
2024-10-04,583.73,596.85,581.43,595.94,595.94,14199788
2024-10-07,598.22,602.95,584.04,584.78,584.78,12014198
2024-10-08,589.69,593.56,585.97,592.89,592.89,7857377
2024-10-09,593.99,594.39,581.61,590.51,590.51,9529707
2024-10-10,587.57,590.23,582.52,583.83,583.83,7740449
2024-10-11,584.83,591.21,582.71,589.95,589.95,8587051
2024-10-14,594.22,600.1,589.96,590.42,590.42,8251971
2024-10-15,590.16,590.61,580.143,586.27,586.27,9564236
2024-10-16,581.395,582.08,574.03,576.79,576.79,11268384
2024-10-17,583.33,584.97,575.2,576.93,576.93,8701158
2024-10-18,581.1,583.9675,575.25,576.47,576.47,7694274
2024-10-21,576.03,577.2399,569.11,575.16,575.16,8171879
2024-10-22,574.29,583.53,572.12,582.01,582.01,8544463
2024-10-23,579.97,585.0,562.5,563.69,563.69,14248419
2024-10-24,567.125,568.8799,561.52,567.78,567.78,7184651
2024-10-25,573.935,581.29,571.72,573.25,573.25,11337874
2024-10-28,582.0,583.7499,574.12,578.16,578.16,10925131
2024-10-29,580.145,593.67,575.398,593.28,593.28,13019092
2024-10-30,600.98,601.2,589.38,591.8,591.8,26864925
2024-10-31,585.0,589.9,563.01,567.58,567.58,26838395
2024-11-01,567.605,573.67,562.56,567.16,567.16,15303235
2024-11-04,564.1,568.69,557.89,560.68,560.68,12064601
2024-11-05,567.305,573.48,566.67,572.43,572.43,9775379
2024-11-06,562.75,573.0,555.1679,572.05,572.05,18305429
2024-11-07,576.89,594.7999,575.21,591.7,591.7,14653708
2024-11-08,591.54,593.1,584.52,589.34,589.34,9415699
2024-11-11,586.36,587.0,576.51,583.17,583.17,10209051
2024-11-12,588.545,599.66,580.38,584.82,584.82,16287724
2024-11-13,582.605,585.64,575.17,580.0,580.0,10757583
2024-11-14,577.0,580.76,573.01,577.16,577.16,11053743
2024-11-15,571.22,572.57,551.5,554.08,554.08,17712864
2024-11-18,557.04,559.9,550.09,554.4,554.4,14346715
2024-11-19,552.3,561.43,550.6,561.09,561.09,9522445
2024-11-20,562.93,566.3499,554.2001,565.52,565.52,9797339
2024-11-21,569.52,570.0,549.05,563.09,563.09,11154749
2024-11-22,563.55,563.8273,554.59,559.14,559.14,9164004
2024-11-25,562.1,572.5915,556.39,565.11,565.11,13599830
2024-11-26,566.0,577.5,565.2,573.54,573.54,10356550
2024-11-27,574.97,574.98,564.1001,569.2,569.2,7200228
2024-11-29,569.0,578.46,566.9,574.32,574.32,7130519
2024-12-02,577.5,594.5,575.57,592.83,592.83,12522371
2024-12-03,595.0,614.2,591.2501,613.65,613.65,14907164
2024-12-04,612.96,617.78,605.1,613.78,613.78,14697006
2024-12-05,617.075,619.9,607.05,608.93,608.93,8081212
2024-12-06,610.1,629.7899,608.53,623.77,623.77,16935503
2024-12-09,623.925,626.4,606.1701,613.57,613.57,11426015
2024-12-10,617.56,625.59,612.74,619.32,619.32,10938854
2024-12-11,623.37,638.4,621.5349,632.68,632.68,10837228
2024-12-12,631.5,636.6599,627.2094,630.79,630.79,7474717
2024-12-13,627.22,631.08,616.886,620.35,620.35,8453349
2024-12-16,629.975,631.15,618.58,624.24,624.24,10885625
2024-12-17,626.17,632.37,616.54,619.44,619.44,12897842
2024-12-18,621.0,627.36,596.32,597.19,597.19,17075480
2024-12-19,610.39,611.52,595.0,595.57,595.57,14958082
2024-12-20,590.58,603.11,580.0,585.25,585.25,48989390
2024-12-23,589.6,601.09,586.25,599.85,599.85,10205750
2024-12-24,602.715,607.99,599.2849,607.75,607.75,4726056
2024-12-26,605.48,606.3,598.94,603.35,603.35,6091239
2024-12-27,599.41,601.85,589.8,599.81,599.81,8084229
2024-12-30,588.75,596.9399,585.58,591.24,591.24,7025864
2024-12-31,592.265,593.97,583.85,585.51,585.51,6019520
2025-01-02,589.72,604.91,587.82,599.24,599.24,12682269
2025-01-03,604.76,609.5,596.4136,604.63,604.63,11436784
2025-01-06,611.825,630.99,605.62,630.2,630.2,14560754
2025-01-07,631.7,632.1011,608.23,617.89,617.89,12071479
2025-01-08,613.395,616.4397,602.79,610.72,610.72,10085846
2025-01-10,610.03,629.91,597.34,615.86,615.86,19256564
2025-01-13,607.1,608.97,598.445,608.33,608.33,10785031
2025-01-14,605.065,605.49,588.55,594.25,594.25,13597992
2025-01-15,610.21,622.46,606.5,617.12,617.12,15524302
2025-01-16,611.5,616.25,609.71,611.3,611.3,8355349
2025-01-17,624.05,624.97,603.67,612.77,612.77,17280600
2025-01-21,617.825,621.5,609.0082,616.46,616.46,11674016
2025-01-22,623.3,633.7,619.435,623.5,623.5,12274011
2025-01-23,627.36,636.6,621.15,636.45,636.45,9910163
2025-01-24,636.4,652.0,634.2,647.49,647.49,19065329
2025-01-27,626.61,663.87,625.1,659.88,659.88,28399190
2025-01-28,666.0,682.58,659.465,674.33,674.33,20950107
2025-01-29,675.0,681.0459,665.67,676.49,676.49,21377820
2025-01-30,696.82,710.79,676.1,687.0,687.0,29322898
2025-01-31,691.0,705.2999,685.58,689.18,689.18,19331660
2025-02-03,675.91,704.0,675.25,697.46,697.46,21415739
2025-02-04,702.5,707.71,691.61,704.19,704.19,13826270
2025-02-05,703.55,718.14,699.01,704.87,704.87,17793766
2025-02-06,705.88,718.9,703.5,711.99,711.99,13080690
2025-02-07,716.795,725.01,711.75,714.52,714.52,16427067
2025-02-10,718.56,721.2,711.33,717.4,717.4,12904317
2025-02-11,713.32,723.66,710.04,719.8,719.8,12997959
2025-02-12,715.3,727.1,712.6,725.38,725.38,12016517
2025-02-13,721.5197,729.0,718.04,728.56,728.56,12569064
2025-02-14,726.14,740.91,725.62,736.67,736.67,16901249
2025-02-18,736.0,737.0,706.44,716.37,716.37,21938703
2025-02-19,704.095,707.0,695.39,703.77,703.77,17535480
2025-02-20,697.275,705.63,693.64,694.84,694.84,12587408
2025-02-21,696.58,703.87,682.36,683.55,683.55,15660355
2025-02-24,686.28,687.27,662.45,668.1275,668.1275,15676994
2025-02-25,665.972,668.0,641.86,657.5,657.5,20579662
2025-02-26,659.65,683.0078,658.0,673.7,673.7,14488705
2025-02-27,682.45,688.6469,657.57,658.24,658.24,12500013
2025-02-28,658.0,669.63,642.6017,668.2,668.2,17534168
2025-03-03,673.675,681.25,650.8439,655.05,655.05,10843763
2025-03-04,645.51,649.75,623.65,640.0,640.0,21495208
2025-03-05,641.0,659.5,637.66,656.47,656.47,13770026
2025-03-06,648.0,650.5625,624.11,627.93,627.93,13446454
2025-03-07,625.37,634.79,600.61,625.66,625.66,21375671
2025-03-10,608.07,610.1059,586.8701,597.99,597.99,21999943
2025-03-11,595.055,614.934,593.33,605.71,605.71,17401469
2025-03-12,629.9,633.33,609.35,619.56,619.56,15746966
2025-03-13,620.245,620.5,586.51,590.64,590.64,16480324
2025-03-14,602.805,608.86,594.78,607.6,607.6,12364505
2025-03-17,607.46,613.1,598.0,604.9,604.9,15473909
2025-03-18,600.05,600.25,574.66,582.36,582.36,20297708
2025-03-19,584.28,592.3223,574.77,584.06,584.06,20537498
2025-03-20,582.755,610.2,579.51,586.0,586.0,24336505
2025-03-21,583.425,597.545,580.95,596.25,596.25,25015864
2025-03-24,614.97,622.54,612.2001,618.85,618.85,15741274
2025-03-25,626.76,633.88,621.18,626.31,626.31,15312540
2025-03-26,624.89,626.7499,606.61,610.98,610.98,12661891
2025-03-27,602.0,614.25,600.1,602.58,602.58,10436524
2025-03-28,600.31,601.75,573.92,576.74,576.74,17602823
2025-03-31,563.5,578.7,553.3,576.36,576.36,21124677
2025-04-01,570.84,589.91,570.0,586.0,586.0,12836574
2025-04-02,574.91,592.66,573.36,583.93,583.93,13470778
2025-04-03,546.22,552.5596,530.3,531.62,531.62,34777460
2025-04-04,506.62,518.0,494.2,504.73,504.73,38589814
2025-04-07,485.1,539.37,481.9,516.25,516.25,36606136
2025-04-08,543.25,547.43,502.86,510.45,510.45,28034211
2025-04-09,509.265,587.89,502.11,585.77,585.77,39216578
2025-04-10,575.49,581.3,535.3,546.29,546.29,28173491
2025-04-11,535.505,547.4,528.5901,543.57,543.57,17642327
2025-04-14,556.175,557.77,528.28,531.48,531.48,14130928
2025-04-15,532.105,537.94,517.5,521.52,521.52,15558659
2025-04-16,508.51,513.37,495.63,502.31,502.31,18735075
2025-04-17,505.25,507.3,498.0133,501.48,501.48,14593508
2025-04-21,491.325,493.5,479.8,484.66,484.66,16165982
2025-04-22,491.87,506.88,486.36,500.28,500.28,17399408
2025-04-23,528.525,535.3376,516.52,520.27,520.27,18173910
2025-04-24,518.73,533.9,517.5,533.15,533.15,13910011
2025-04-25,546.8,549.86,536.25,547.27,547.27,17098921
2025-04-28,555.64,558.4899,540.59,549.74,549.74,15178995
2025-04-29,546.0,556.5699,544.12,554.44,554.44,11835036
2025-04-30,538.4,549.1,529.5,549.0,549.0,29243971
2025-05-01,592.075,592.95,570.5,572.21,572.21,31159033
2025-05-02,583.455,604.34,578.33,597.02,597.02,24739260
2025-05-05,591.22,603.21,588.05,599.27,599.27,13887724
2025-05-06,592.525,596.03,586.58,587.31,587.31,10600650
2025-05-07,590.36,603.075,586.67,596.81,596.81,13160976
2025-05-08,606.285,611.2959,596.62,598.01,598.01,14622805
2025-05-09,603.72,606.97,591.7062,592.49,592.49,10427286
2025-05-12,630.92,640.3896,621.03,639.43,639.43,21965085
2025-05-13,645.545,660.92,642.83,656.03,656.03,18570821
2025-05-14,661.21,662.67,654.31,659.36,659.36,12348179
2025-05-15,654.275,657.31,638.58,643.88,643.88,14341835
2025-05-16,637.955,640.44,626.15,640.34,640.34,18518972
2025-05-19,628.25,643.0,627.8,640.43,640.43,9592374
2025-05-20,636.01,639.3536,632.26,637.1,637.1,6743473
2025-05-21,631.79,646.61,630.17,635.5,635.5,11464569
2025-05-22,634.05,643.25,630.71,636.57,636.57,8228443
2025-05-23,624.0,632.445,622.65,627.06,627.06,8454067
2025-05-27,635.41,643.08,632.75,642.32,642.32,9508367
2025-05-28,642.6,650.88,642.5472,643.58,643.58,9042874
2025-05-29,651.645,653.32,639.5,645.05,645.05,8883436
2025-05-30,642.5,649.4099,632.78,647.49,647.49,16240951
2025-06-02,644.39,673.26,644.2616,670.9,670.9,15766258
2025-06-03,671.445,675.58,665.03,666.85,666.85,11585031
2025-06-04,669.32,689.0,668.57,687.95,687.95,14031931
2025-06-05,691.66,694.38,682.25,684.62,684.62,13120335
2025-06-06,696.17,702.806,691.87,697.71,697.71,11727961
2025-06-09,698.46,705.19,693.94,694.06,694.06,12773221
2025-06-10,701.345,703.23,691.56,702.4,702.4,10850146
2025-06-11,703.705,708.8707,691.99,694.14,694.14,9582508
2025-06-12,693.3,695.38,687.0,693.36,693.36,7322730
2025-06-13,687.95,694.57,681.01,682.87,682.87,9274441
2025-06-16,699.33,707.15,693.5103,702.12,702.12,13720288
2025-06-17,702.0,705.97,696.06,697.23,697.23,10066110
2025-06-18,698.18,701.59,694.9,695.77,695.77,10068255
2025-06-20,700.75,701.8197,678.67,682.35,682.35,22538640
2025-06-23,683.69,699.05,678.75,698.53,698.53,11080055
2025-06-24,704.885,713.19,702.11,712.2,712.2,13823180
2025-06-25,713.315,716.58,705.38,708.68,708.68,9320436
2025-06-26,714.355,728.22,711.05,726.09,726.09,13964793
2025-06-27,726.515,735.43,725.86,733.63,733.63,18775735
2025-06-30,744.55,747.9,734.25,738.09,738.09,15402105
2025-07-01,736.875,737.7499,715.37,719.22,719.22,13431248
2025-07-02,715.325,720.3,712.8,713.57,713.57,9336740
2025-07-03,726.61,729.03,714.42,719.01,719.01,8601653
2025-07-07,717.6,727.0,713.51,718.35,718.35,9457080
2025-07-08,721.57,722.9099,714.81,720.67,720.67,7770693
2025-07-09,722.715,737.53,722.715,732.78,732.78,11417963
2025-07-10,731.55,735.7999,719.6,727.24,727.24,9922249
2025-07-11,722.495,725.16,709.7,717.51,717.51,10873880
2025-07-14,717.6,728.0,716.547,720.92,720.92,8939399
2025-07-15,723.9,724.4716,709.82,710.39,710.39,11529511
2025-07-16,713.37,713.97,699.2701,702.91,702.91,13067627
2025-07-17,704.39,705.9,697.105,701.41,701.41,11803264
2025-07-18,702.19,704.71,691.65,704.28,704.28,12779752
2025-07-21,706.8,717.0,705.76,712.965,712.965,9404391
2025-07-22,716.19,716.6,701.41,704.81,704.81,8921064
2025-07-23,706.365,714.6285,704.93,713.58,713.58,8771615
2025-07-24,717.05,723.6239,714.0,714.8,714.8,10920836
2025-07-25,716.915,720.6499,711.9,712.68,712.68,8271698
2025-07-28,715.2,724.7352,712.68,717.63,717.63,8715743
2025-07-29,720.0,724.47,699.91,700.0,700.0,13267032
2025-07-30,708.09,708.5,691.2001,695.21,695.21,27077286
2025-07-31,775.2,784.75,765.51,773.44,773.44,38831098
2025-08-01,760.73,765.9999,745.31,750.01,750.01,19028710
2025-08-04,760.0,776.85,758.41,776.37,776.37,15801727
2025-08-05,776.445,783.1299,763.0,763.46,763.46,11640294
2025-08-06,770.0,773.64,760.4601,771.99,771.99,9733910
2025-08-07,773.49,775.0,759.55,761.83,761.83,9019691
2025-08-08,762.75,769.9,758.58,769.3,769.3,7320755
2025-08-11,770.075,773.4584,764.67,765.87,765.87,7611964
2025-08-12,773.0,793.67,772.43,790.0,790.0,14579765
2025-08-13,791.15,795.4561,778.23,780.08,780.08,8811750
2025-08-14,777.88,787.81,772.51,782.13,782.13,8116193
2025-08-15,784.15,796.25,780.82,785.23,785.23,13375361
2025-08-18,775.085,775.81,756.5601,767.37,767.37,16513737
2025-08-19,767.12,767.17,749.36,751.48,751.48,12286690
2025-08-20,747.57,750.1999,731.0,747.72,747.72,11898190
2025-08-21,744.705,745.5,733.1101,739.1,739.1,8876307
2025-08-22,739.23,756.9,734.39,754.79,754.79,10612667
2025-08-25,754.82,758.88,750.13,753.3,753.3,6861158
2025-08-26,750.8,754.87,747.94,754.1,754.1,7601800
2025-08-27,752.3,754.1499,742.84,747.38,747.38,8315435
2025-08-28,744.0,753.0548,740.795,751.11,751.11,7467955
2025-08-29,745.28,747.14,735.3466,738.7,738.7,9070546
2025-09-02,726.04,736.0,721.7306,735.11,735.11,9350857
2025-09-03,736.0,740.25,733.9893,737.05,737.05,7699332
2025-09-04,748.57,761.16,745.82,748.65,748.65,11439078
2025-09-05,752.615,757.95,745.03,752.45,752.45,9663441
2025-09-08,755.995,766.51,752.02,752.3,752.3,13087816
2025-09-09,757.49,766.3,753.43,765.7,765.7,10999026
2025-09-10,765.13,765.7,751.0,751.98,751.98,12478276
2025-09-11,754.65,757.1,748.37,750.9,750.9,7923284
2025-09-12,748.725,757.5703,743.76,755.59,755.59,8248557
2025-09-15,757.47,774.07,751.985,764.7,764.7,10533780
2025-09-16,767.0,781.36,765.1,779.0,779.0,11782482
2025-09-17,779.99,783.29,766.31,775.715,775.715,9400867
2025-09-18,780.75,788.78,773.36,780.25,780.25,10954950
2025-09-19,786.42,790.8,769.1901,778.38,778.38,23696824
2025-09-22,781.845,785.73,764.47,765.16,765.16,11706946
2025-09-23,769.25,770.6,751.07,755.4,755.4,10872592
2025-09-24,757.5,761.11,752.5251,760.66,760.66,8828227
2025-09-25,753.45,756.765,744.55,748.91,748.91,10591065
2025-09-26,750.0,751.9299,737.3532,743.75,743.75,9696338
2025-09-29,748.72,750.78,739.15,743.4,743.4,9246768
2025-09-30,742.25,742.97,726.3,734.38,734.38,16226750
2025-10-01,721.49,721.8499,710.2,717.34,717.34,20419633
2025-10-02,722.58,727.77,718.14,727.05,727.05,11415271
2025-10-03,729.625,731.0,710.18,710.56,710.56,16154305
2025-10-06,705.185,716.88,690.51,715.66,715.66,21654738
2025-10-07,717.72,718.4999,705.75,713.08,713.08,12062928
2025-10-08,713.45,719.65,707.81,717.84,717.84,10790571
2025-10-09,718.275,733.51,712.44,733.51,733.51,12717172
2025-10-10,730.92,735.27,704.51,705.3,705.3,16980091
2025-10-13,713.01,719.94,707.6413,715.7,715.7,9251796
2025-10-14,707.78,715.55,699.33,708.65,708.65,8829757
2025-10-15,717.06,723.9,709.51,717.55,717.55,10246766
2025-10-16,717.55,725.49,703.88,712.07,712.07,9017010
2025-10-17,707.075,718.54,706.12,716.915,716.915,12232441
2025-10-20,721.19,733.77,720.18,732.17,732.17,8900204
2025-10-21,736.015,738.5,728.75,733.27,733.27,7647269
2025-10-22,733.83,740.6,724.03,733.41,733.41,8734491
2025-10-23,734.7,742.41,733.1,734.0,734.0,9855974
2025-10-24,736.79,741.21,731.15,738.36,738.36,9151267
2025-10-27,749.73,755.75,748.01,750.82,750.82,11321080
2025-10-28,752.63,758.4,745.5201,751.44,751.44,12193818
